観測所番号,都道府県,地点,国際地点番号,観測時刻(年),観測時刻(月),観測時刻(日),観測時刻(時),観測時刻(分),10日の最高気温(℃),10日の最高気温の品質情報,10日の最高気温起時（時）,10日の最高気温起時（分）,10日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（9日まで）,今年の最高気温（9日まで）の品質情報,今年の最高気温（9日まで）を観測した起日（年）,今年の最高気温（9日まで）を観測した起日（月）,今年の最高気温（9日まで）を観測した起日（日）,9日までの観測史上1位の値（℃）,9日までの観測史上1位の値の品質情報,9日までの観測史上1位の値を観測した起日（年）,9日までの観測史上1位の値を観測した起日（月）,9日までの観測史上1位の値を観測した起日（日）,9日までの6月の1位の値,9日までの6月の1位の値の品質情報,9日までの6月の1位の値の起日（年）,9日までの6月の1位の値の起日（月）,9日までの6月の1位の値の起日（日）,統計開始年,date
16076,北海道後志地方,余市（ヨイチ）,,2024,6,10,,,25.4,8,12,27,8,4.7,0.3,7.0,3.0,,,0,26.2,4,2024,4,27,34.9,8,1984,8,16,33.5,8,2014,6,5,1977,2024-06-10
16091,北海道後志地方,小樽（オタル）,47411.0,2024,6,10,,,23.2,8,16,11,8,3.3,-0.5,7.0,1.0,,,0,27.3,4,2024,4,27,36.2,8,2021,7,28,31.9,8,2021,6,11,1943,2024-06-10
16156,北海道後志地方,共和（キョウワ）,,2024,6,10,,,23.5,8,12,7,8,3.6,0.4,7.0,1.0,,,0,27.0,4,2024,6,8,35.0,8,2023,8,10,32.5,8,2012,6,30,1977,2024-06-10
16206,北海道後志地方,蘭越（ランコシ）,,2024,6,10,,,23.3,8,15,55,8,2.6,1.9,7.0,1.0,,,0,25.4,4,2024,4,27,35.4,8,2023,8,23,32.7,8,2014,6,4,1977,2024-06-10
16217,北海道後志地方,倶知安（クッチャン）,47433.0,2024,6,10,,,23.3,8,13,13,8,3.0,1.7,7.0,1.0,,,0,26.0,4,2024,6,8,34.6,8,2023,8,23,32.5,8,2014,6,4,1944,2024-06-10
16252,北海道後志地方,寿都（スッツ）,47421.0,2024,6,10,,,22.8,8,11,56,8,4.2,2.6,7.0,2.0,,,0,24.1,4,2024,4,26,34.0,8,1904,8,20,31.3,8,2014,6,4,1884,2024-06-10
16281,北海道後志地方,真狩（マッカリ）,,2024,6,10,,,20.8,8,14,9,8,2.3,-0.1,6.0,3.0,,,0,23.0,4,2024,6,8,32.3,8,2021,7,27,32.0,8,2014,6,3,1978,2024-06-10
16286,北海道後志地方,喜茂別（キモベツ）,,2024,6,10,,,21.9,8,14,18,8,1.9,0.6,6.0,3.0,,,0,25.7,4,2024,6,8,34.5,8,2023,8,25,33.3,8,2014,6,4,1977,2024-06-10
16321,北海道後志地方,黒松内（クロマツナイ）,,2024,6,10,,,24.2,8,14,50,8,5.1,5.5,7.0,3.0,,,0,24.7,4,2024,5,23,34.5,8,2021,7,18,31.0,8,2014,6,3,1977,2024-06-10
17036,北海道網走・北見・紋別地方,雄武（オウム）,47405.0,2024,6,10,,,20.1,8,10,54,8,4.2,-4.2,7.0,2.0,,,0,26.8,4,2024,5,12,35.3,8,2023,8,17,35.1,8,2014,6,3,1942,2024-06-10
17076,北海道網走・北見・紋別地方,興部（オコッペ）,,2024,6,10,,,23.5,8,12,39,8,6.5,-2.4,88.0,0.0,,,0,27.9,4,2024,5,12,34.3,8,1999,8,9,33.4,8,2014,6,3,1977,2024-06-10
17091,北海道網走・北見・紋別地方,西興部（ニシオコッペ）,,2024,6,10,,,24.5,8,13,12,8,4.6,-3.0,7.0,3.0,,,0,27.9,4,2024,6,8,36.4,8,1978,8,3,33.7,8,2014,6,4,1977,2024-06-10
17112,北海道網走・北見・紋別地方,紋別（モンベツ）,47435.0,2024,6,10,,,22.1,8,11,24,8,5.6,-4.8,7.0,3.0,,,0,27.8,4,2024,5,12,37.0,8,2019,5,26,32.7,8,2010,6,26,1956,2024-06-10
17116,北海道網走・北見・紋別地方,紋別小向（モンベツコムカイ）,,2024,6,10,,,23.4,8,15,0,8,6.5,-4.1,7.0,3.0,,,0,27.5,4,2024,6,9,37.2,8,2019,5,26,35.2,8,2014,6,3,2003,2024-06-10
17166,北海道網走・北見・紋別地方,湧別（ユウベツ）,,2024,6,10,,,23.0,8,14,35,8,5.2,-5.4,7.0,3.0,,,0,28.4,4,2024,6,9,38.5,8,2019,5,26,33.8,8,2010,6,26,1977,2024-06-10
17196,北海道網走・北見・紋別地方,滝上（タキノウエ）,,2024,6,10,,,24.8,8,14,22,8,3.9,-3.7,7.0,2.0,,,0,29.2,4,2024,6,8,37.7,8,1978,8,3,34.8,8,2014,6,4,1977,2024-06-10
17246,北海道網走・北見・紋別地方,常呂（トコロ）,,2024,6,10,,,20.1,8,16,18,8,1.7,-5.1,6.0,3.0,,,0,29.6,4,2024,6,8,36.9,8,1994,8,7,32.7,8,2005,6,23,1977,2024-06-10
17306,北海道網走・北見・紋別地方,遠軽（エンガル）,,2024,6,10,,,22.6,8,14,33,8,2.2,-3.2,7.0,1.0,,,0,28.2,4,2024,6,8,37.7,8,2019,5,26,36.9,8,2014,6,3,1977,2024-06-10
17316,北海道網走・北見・紋別地方,佐呂間（サロマ）,,2024,6,10,,,21.4,8,15,21,8,1.4,-4.5,6.0,3.0,,,0,27.8,4,2024,6,8,39.5,8,2019,5,26,34.4,8,2010,6,26,1977,2024-06-10
17341,北海道網走・北見・紋別地方,網走（アバシリ）,47409.0,2024,6,10,,,21.4,8,7,48,8,3.9,-2.3,7.0,2.0,,,0,26.1,4,2024,5,18,37.6,8,1994,8,7,34.0,8,1936,6,14,1889,2024-06-10
